Time,Timestamp,ID,Referrer,Origin,Location,Food,Color,Animal,Photo
1522370476,3/30/18 0:41,1,0,PS-GA,CA-MA,Sweet Potato,pastel_blue,Bunny,TRUE
1522373610,3/30/18 1:33,2,1,BR-NY,CA-MA,Smoked Salmon,purple,Capybara,TRUE
1522388695,3/30/18 5:44,3,1,DP-IL,MA,Steak,blue,Baby Seal,TRUE
1522397891,3/30/18 8:18,4,1,LA-CA,CA-MA,Mac and Cheese,lavender,Frog,TRUE
1522418163,3/30/18 13:56,5,1,GZ-CN,CA-MA,Hong Kong Milk Tea,light_pink,Cat,TRUE
1522419404,3/30/18 14:16,6,1,NY-NY,MA,Jeju Pig Meat,blue,Wolf,TRUE
1522437227,3/30/18 19:13,7,1,CN,MA,Fried Eggs w/ Tomatoes,deep_purple,Japanese Crested Ibis,TRUE
1522442361,3/30/18 20:39,8,1,BJ-CN,CA-MA,Eggplant,blue,Cat,TRUE
1522444365,3/30/18 21:12,9,1,GD-CN,MA,Japanese Food,blue,Otter,TRUE
1522525236,3/31/18 19:40,11,0,BZ,MA,Strogonoff,teal,Wolf,TRUE
1522599662,4/1/18 16:21,14,13,LA-CA,CA-MA,Dark Chocolate,teal,Cat,TRUE
1522600684,4/1/18 16:38,13,0,PH-PA,MA,Noodles,green ,Nembrotha Cristata,TRUE
1522600853,4/1/18 16:40,15,13,IN-IN,CA-MA,BBQ Chicken Thighs,black,Elephant,TRUE
1522602017,4/1/18 17:00,16,13,MD,MA,Matzah Brittlr,purple,Human,FALSE
1522602132,4/1/18 17:02,17,13,LN-PA,MA,Bacon,pink,Koala,FALSE
1522603173,4/1/18 17:19,18,13,RH-CA,CA-MA,Poke,yellow,Jellyfish,TRUE
1522618870,4/1/18 21:41,19,13,TL-FL,CA-MA,Instant Ramen,cobalt_blue,Human,TRUE
1522618960,4/1/18 21:42,20,13,GR-NJ,CA-MA,Bagels,blue,Seal,FALSE
1522620079,4/1/18 22:01,12,11,BZ,SP-BZ,Brazillian BBQ,blue,Dog,TRUE
1522655670,4/2/18 7:54,21,13,SH-CN,CA-MA,Chocolate,green ,Kangaroo,FALSE
1522682498,4/2/18 15:21,22,0,CN,EL-MI,Fish,blue,Seal,TRUE
1522687499,4/2/18 16:44,23,0,SK,MA-WI,Korean Food,red,Corgi,TRUE
1522732996,4/3/18 5:23,24,0,TH,BK-TH,Thai Food,orange,Cat,TRUE
1523907985,4/16/18 19:46,26,25,SD-CA,CA-MA,Dumplings,purple,Polar Bear,TRUE
1523908329,4/16/18 19:52,27,25,NY-NY,IT-NY,Curry,blue,Whale,TRUE
1523908627,4/16/18 19:57,25,0,CN,NY-NY,Lobster,sky_blue,Wolf,TRUE
1523908929,4/16/18 20:02,28,25,NY-NY,NY-NY,Hamburgers,white,Kitten,FALSE
1523910494,4/16/18 20:28,29,25,RC-CA,BO-MA,Curly Fries,blue,Doge,FALSE
1523914628,4/16/18 21:37,30,25,WH-CN,MA,Fish,blue,Cat,TRUE
1524002594,4/17/18 22:03,34,0,ST-MI,SP-MN,Kung Pao Chicken ,green ,Dog,TRUE
1524004686,4/17/18 22:38,35,34,WI,PA,Steak,green ,Dog,TRUE
1524010154,4/18/18 0:09,31,25,NY-NY,MA,Lasagna,blue,Bird,TRUE
1524039242,4/18/18 8:14,36,34,SP-MN,CA-TX,Hotdish ,red,Red Wing Blackbird,TRUE
1524054211,4/18/18 12:23,32,25,QE-NY,QE-NY,Korean BBQ,red,Panda,TRUE
1524086982,4/18/18 21:29,37,34,ST-MI,AN-VA,Dark Chocolate,green ,Cat,TRUE
1524118994,4/19/18 6:23,38,34,GR-MI,GR-MI,Hamburgers,blue,Bird,TRUE
1524139453,4/19/18 12:04,33,25,AX-VA,CA-MA,Korean Food,purple,Bunny,TRUE
1524165027,4/19/18 19:10,10,1,TR-MI,CA-MA,Korean Food,blue,Panda,TRUE
0,1/1/04 0:00,0,0,TK-JP,CA-MA,Pho,light_blue,Cat,TRUE
